source,titulo,titulo_interno,carpeta,formato,paginas,palabras,bytes,vectores,palabras_indexadas,error
03_ESTANDARES/GUIAS OCDE/OCDE_03_Textil_Calzado_2021_ES,OCDE 03 Textil Calzado 2021 ES,de debida diligencia para,03_ESTANDARES/GUIAS OCDE,pdf,172,65251,3266969,558,64779,
03_ESTANDARES/GUIAS OCDE/OCDE_04_Extractivo_Partes_Interesadas_2018_ES,OCDE 04 Extractivo Partes Interesadas 2018 ES,de diligencia debida para,03_ESTANDARES/GUIAS OCDE,pdf,138,49148,2601360,349,47421,
03_ESTANDARES/GUIAS OCDE/OCDE_05_Minerales_Conflicto_Alto_Riesgo_ES,OCDE 05 Minerales Conflicto Alto Riesgo ES,Guía de Debida Diligencia de la OCDE,03_ESTANDARES/GUIAS OCDE,pdf,124,45937,1993675,345,45571,
03_ESTANDARES/GUIAS OCDE/OCDE_06_Finanzas_Inversores_Institucionales_ES,OCDE 06 Finanzas Inversores Institucionales ES,Los inversionistas institucionales,03_ESTANDARES/GUIAS OCDE,pdf,69,29816,3135909,221,29385,
03_ESTANDARES/GUIAS OCDE/OCDE_07_Finanzas_Prestamos_Aseguramiento_ES,OCDE 07 Finanzas Prestamos Aseguramiento ES,Debida diligencia para,03_ESTANDARES/GUIAS OCDE,pdf,81,36212,3289267,269,35869,
03_ESTANDARES/GUIAS OCDE/OCDE_08_Deforestacion_Agricultura_OCDE_FAO_ES,OCDE 08 Deforestacion Agricultura OCDE FAO ES,Manual OCDE-FAO para,03_ESTANDARES/GUIAS OCDE,pdf,73,25454,2110276,201,25189,
03_ESTANDARES/GUIAS OCDE/OCDE_09_Debida_Diligencia_Ambiental_Minerales_ES,OCDE 09 Debida Diligencia Ambiental Minerales ES,Manual sobre debida,03_ESTANDARES/GUIAS OCDE,pdf,73,34860,2485599,274,34502,
03_ESTANDARES/PROCESOS GRI/GRI 101_ Biodiversidad 2024 - Spanish,GRI 101  Biodiversidad 2024 - Spanish,GRI 101: Biodiversidad 2024,03_ESTANDARES/PROCESOS GRI,pdf,54,23167,1441494,179,23038,
03_ESTANDARES/PROCESOS GRI/GRI 11_ Sector Petróleo y Gas 2021 - Spanish,GRI 11  Sector Petróleo y Gas 2021 - Spanish,GRI 11: Sectores Petróleo y Gas 2021,03_ESTANDARES/PROCESOS GRI,pdf,97,44455,2376633,371,43973,
03_ESTANDARES/PROCESOS GRI/GRI 12_ Sector Carbón 2022 - Spanish,GRI 12  Sector Carbón 2022 - Spanish,GRI 12: Sector Carbón 2022,03_ESTANDARES/PROCESOS GRI,pdf,91,40075,2355007,317,39642,
"03_ESTANDARES/PROCESOS GRI/GRI 13_ Sectores Agricultura, Acuicultura y Pesca 2022 - Spanish","GRI 13  Sectores Agricultura, Acuicultura y Pesca 2022 - Spanish","GRI 13: Sectores Agricultura, Acuicultura",03_ESTANDARES/PROCESOS GRI,pdf,109,46295,2731281,366,45826,
03_ESTANDARES/PROCESOS GRI/GRI 14_ Sector Minería 2024 - Spanish,GRI 14  Sector Minería 2024 - Spanish,GRI 14: Sector Minería 2024,03_ESTANDARES/PROCESOS GRI,pdf,111,48920,2840854,374,48306,
03_ESTANDARES/PROCESOS GRI/GRI 1_ Fundamentos 2021 - Spanish,GRI 1  Fundamentos 2021 - Spanish,GRI 1: Fundamentos 2021,03_ESTANDARES/PROCESOS GRI,pdf,43,17755,1345581,134,17727,
03_ESTANDARES/PROCESOS GRI/GRI 201_ Desempeño económico 2016 - Spanish,GRI 201  Desempeño económico 2016 - Spanish,GRI 201: Desempeño económico 2016,03_ESTANDARES/PROCESOS GRI,pdf,20,5878,1006984,40,5901,
03_ESTANDARES/PROCESOS GRI/GRI 202_ Presencia en el mercado 2016 - Spanish,GRI 202  Presencia en el mercado 2016 - Spanish,GRI 202: Presencia en el mercado 2016,03_ESTANDARES/PROCESOS GRI,pdf,16,3877,973648,27,3867,
03_ESTANDARES/PROCESOS GRI/GRI 203_ Impactos económicos indirectos 2016 - Spanish,GRI 203  Impactos económicos indirectos 2016 - Spanish,GRI 203: Impactos económicos,03_ESTANDARES/PROCESOS GRI,pdf,13,3318,960400,25,3313,
03_ESTANDARES/PROCESOS GRI/GRI 204_ Prácticas de abastecimiento 2016 - Spanish,GRI 204  Prácticas de abastecimiento 2016 - Spanish,GRI 204: Prácticas de abastecimiento,03_ESTANDARES/PROCESOS GRI,pdf,13,3443,966257,25,3437,
03_ESTANDARES/PROCESOS GRI/GRI 205_ Anticorrupción 2016 - Spanish,GRI 205  Anticorrupción 2016 - Spanish,GRI 205: Anticorrupción 2016,03_ESTANDARES/PROCESOS GRI,pdf,18,5227,1002375,36,5202,
03_ESTANDARES/PROCESOS GRI/GRI 206_ Competencia desleal 2016 - Spanish,GRI 206  Competencia desleal 2016 - Spanish,GRI 206: Competencia desleal 2016,03_ESTANDARES/PROCESOS GRI,pdf,14,3371,969445,26,3350,
03_ESTANDARES/PROCESOS GRI/GRI 207_ Fiscalidad 2019 - Spanish,GRI 207  Fiscalidad 2019 - Spanish,GRI 207: Fiscalidad 2019,03_ESTANDARES/PROCESOS GRI,pdf,26,9085,1091049,67,9069,
03_ESTANDARES/PROCESOS GRI/GRI 2_ Contenidos Generales 2021 - Spanish,GRI 2  Contenidos Generales 2021 - Spanish,GRI 2: Contenidos Generales 2021,03_ESTANDARES/PROCESOS GRI,pdf,61,21011,1346783,150,21013,
03_ESTANDARES/PROCESOS GRI/GRI 301_ Materiales 2016 - Spanish,GRI 301  Materiales 2016 - Spanish,GRI 301: Materiales 2016,03_ESTANDARES/PROCESOS GRI,pdf,14,3246,965727,27,3236,
03_ESTANDARES/PROCESOS GRI/GRI 302_ Energía 2016 - Spanish,GRI 302  Energía 2016 - Spanish,GRI 302: Energía 2016,03_ESTANDARES/PROCESOS GRI,pdf,20,5120,1001343,38,5143,
03_ESTANDARES/PROCESOS GRI/GRI 303_ Agua y efluentes 2018 - Spanish,GRI 303  Agua y efluentes 2018 - Spanish,GRI 303: Agua y efluentes 2018,03_ESTANDARES/PROCESOS GRI,pdf,31,11050,1169570,78,11018,
03_ESTANDARES/PROCESOS GRI/GRI 304_ Biodiversidad 2016 - Spanish,GRI 304  Biodiversidad 2016 - Spanish,GRI 304: Biodiversidad 2016,03_ESTANDARES/PROCESOS GRI,pdf,16,4124,982233,30,4125,
03_ESTANDARES/PROCESOS GRI/GRI 305_ Emisiones 2016 - Spanish,GRI 305  Emisiones 2016 - Spanish,GRI 305: Emisiones 2016,03_ESTANDARES/PROCESOS GRI,pdf,28,9456,1094910,71,9538,
03_ESTANDARES/PROCESOS GRI/GRI 306_ Efluentes y residuos 2016 - Spanish,GRI 306  Efluentes y residuos 2016 - Spanish,GRI 306: Efluentes y residuos 2016,03_ESTANDARES/PROCESOS GRI,pdf,16,3622,657033,31,3658,
03_ESTANDARES/PROCESOS GRI/GRI 306_ Residuos 2020 - Spanish,GRI 306  Residuos 2020 - Spanish,GRI 306: Residuos 2020,03_ESTANDARES/PROCESOS GRI,pdf,33,9427,2059713,68,9368,
03_ESTANDARES/PROCESOS GRI/GRI 308_ Evaluación ambiental de proveedores 2016 - Spanish,GRI 308  Evaluación ambiental de proveedores 2016 - Spanish,GRI 308: Evaluación ambiental de,03_ESTANDARES/PROCESOS GRI,pdf,16,4709,999429,32,4674,
03_ESTANDARES/PROCESOS GRI/GRI 3_ Temas Materiales 2021 - Spanish,GRI 3  Temas Materiales 2021 - Spanish,GRI 3: Temas Materiales 2021,03_ESTANDARES/PROCESOS GRI,pdf,34,14953,1302891,110,14886,
03_ESTANDARES/PROCESOS GRI/GRI 401_ Empleo 2016 - Spanish,GRI 401  Empleo 2016 - Spanish,GRI 401: Empleo 2016,03_ESTANDARES/PROCESOS GRI,pdf,19,5642,1007840,38,5640,
03_ESTANDARES/PROCESOS GRI/GRI 402_ Relaciones trabajador-empresa 2016 - Spanish,GRI 402  Relaciones trabajador-empresa 2016 - Spanish,GRI 402: Relaciones trabajador-empresa,03_ESTANDARES/PROCESOS GRI,pdf,14,3840,996107,26,3819,
03_ESTANDARES/PROCESOS GRI/GRI 403_ Salud y seguridad en el trabajo 2018 - Spanish,GRI 403  Salud y seguridad en el trabajo 2018 - Spanish,GRI 403: Salud y seguridad en el trabajo,03_ESTANDARES/PROCESOS GRI,pdf,41,16804,1235397,108,16745,
03_ESTANDARES/PROCESOS GRI/GRI 404_ Formación y educación 2016 - Spanish,GRI 404  Formación y educación 2016 - Spanish,GRI 404: Formación y educación 2016,03_ESTANDARES/PROCESOS GRI,pdf,16,3723,979503,26,3726,
03_ESTANDARES/PROCESOS GRI/GRI 405_ Diversidad e igualdad de oportunidades 2016 - Spanish,GRI 405  Diversidad e igualdad de oportunidades 2016 - Spanish,GRI 405: Diversidad e igualdad de,03_ESTANDARES/PROCESOS GRI,pdf,16,4682,994698,32,4654,
03_ESTANDARES/PROCESOS GRI/GRI 406_ No discriminación 2016 - Spanish,GRI 406  No discriminación 2016 - Spanish,GRI 406: No discriminación 2016,03_ESTANDARES/PROCESOS GRI,pdf,13,3514,993092,24,3499,
03_ESTANDARES/PROCESOS GRI/GRI 407_ Libertad de asociación y negociación colectiva 2016 - Spanish,GRI 407  Libertad de asociación y negociación colectiva 2016 - Spanish,GRI 407: Libertad de asociación y,03_ESTANDARES/PROCESOS GRI,pdf,14,4353,1011160,29,4330,
03_ESTANDARES/PROCESOS GRI/GRI 408_ Trabajo infantil 2016 - Spanish,GRI 408  Trabajo infantil 2016 - Spanish,GRI 408: Trabajo infantil 2016,03_ESTANDARES/PROCESOS GRI,pdf,15,4539,1008257,30,4517,
03_ESTANDARES/PROCESOS GRI/GRI 409_ Trabajo forzoso u obligatorio 2016 - Spanish,GRI 409  Trabajo forzoso u obligatorio 2016 - Spanish,GRI 409: Trabajo forzoso u obligatorio,03_ESTANDARES/PROCESOS GRI,pdf,14,4359,1050770,29,4336,
03_ESTANDARES/PROCESOS GRI/GRI 410_ Prácticas en materia de seguridad 2016 - Spanish,GRI 410  Prácticas en materia de seguridad 2016 - Spanish,GRI 410: Prácticas en materia de,03_ESTANDARES/PROCESOS GRI,pdf,12,2939,981536,22,2930,
03_ESTANDARES/PROCESOS GRI/GRI 411_ Derechos de los pueblos indígenas 2016 - Spanish,GRI 411  Derechos de los pueblos indígenas 2016 - Spanish,GRI 411: Derechos de los pueblos,03_ESTANDARES/PROCESOS GRI,pdf,15,4406,1008731,25,4389,
03_ESTANDARES/PROCESOS GRI/GRI 413_ Comunidades locales 2016 - Spanish,GRI 413  Comunidades locales 2016 - Spanish,GRI 413: Comunidades locales 2016,03_ESTANDARES/PROCESOS GRI,pdf,18,5265,1026649,37,5250,
03_ESTANDARES/PROCESOS GRI/GRI 414_ Evaluación social de los proveedores 2016 - Spanish,GRI 414  Evaluación social de los proveedores 2016 - Spanish,GRI 414: Evaluación social de los,03_ESTANDARES/PROCESOS GRI,pdf,16,4837,997375,31,4798,
03_ESTANDARES/PROCESOS GRI/GRI 415_ Política pública 2016 - Spanish,GRI 415  Política pública 2016 - Spanish,GRI 415: Política pública 2016,03_ESTANDARES/PROCESOS GRI,pdf,13,2924,958506,22,2913,
03_ESTANDARES/PROCESOS GRI/GRI 416_ Salud y seguridad de los clientes 2016 - Spanish,GRI 416  Salud y seguridad de los clientes 2016 - Spanish,GRI 416: Salud y seguridad de los,03_ESTANDARES/PROCESOS GRI,pdf,13,3129,965015,24,3130,
03_ESTANDARES/PROCESOS GRI/GRI 417_ Marketing y etiquetado 2016 - Spanish,GRI 417  Marketing y etiquetado 2016 - Spanish,GRI 417: Marketing y etiquetado 2016,03_ESTANDARES/PROCESOS GRI,pdf,15,3490,979868,27,3488,
03_ESTANDARES/PROCESOS GRI/GRI 418_ Privacidad del cliente 2016 - Spanish,GRI 418  Privacidad del cliente 2016 - Spanish,GRI 418: Privacidad del cliente 2016,03_ESTANDARES/PROCESOS GRI,pdf,13,2878,964143,23,2868,
03_ESTANDARES/PROCESOS GRI/GRI Standards Glossary - Spanish,GRI Standards Glossary - Spanish,Estandares GRI Glosario,03_ESTANDARES/PROCESOS GRI,pdf,27,11021,768543,83,10934,
Audit/Preguntas Análisis de Riesgos,Preguntas Análisis de Riesgos,Preguntas Frecuentes sobre el Análisis de Riesgos,Audit,docx,0,939,25404,11,947,
Audit/Preguntas Funcionamiento del Sistema de Gestión de Riesgos y su Supervisión,Preguntas Funcionamiento del Sistema de Gestión de Riesgos y su Supervisión,Preguntas Frecuentes sobre el Funcionamiento del Sistema de Gestión de Riesgos y su Supervisión,Audit,docx,0,410,23183,6,410,
Audit/Preguntas Informe de Progreso en sostenibilidad,Preguntas Informe de Progreso en sostenibilidad,Preguntas frecuentes sobre el Informe de Progreso en sostenibilidad,Audit,docx,0,381,24093,7,381,
"Audit/Preguntas Medidas de Transparencia, Publicidad y Difusión","Preguntas Medidas de Transparencia, Publicidad y Difusión","Preguntas Frecuentes sobre Medidas de Transparencia, Publicidad y Difusión",Audit,docx,0,267,23715,4,291,
Audit/Preguntas Políticas y Códigos en Materia de Derechos Humanos,Preguntas Políticas y Códigos en Materia de Derechos Humanos,Preguntas Frecuentes sobre Políticas y Códigos en Materia de Derechos Humanos,Audit,docx,0,1626,28672,25,1690,
Audit/Preguntas reparación de daños ya causados por parte de la empresa,Preguntas reparación de daños ya causados por parte de la empresa,Preguntas frecuentes sobre reparación de daños ya causados por parte de la empresa,Audit,docx,0,355,24399,6,355,
Audit/Preguntas riesgos específicos_ Condiciones de Trabajo Dignas,Preguntas riesgos específicos  Condiciones de Trabajo Dignas,Preguntas riesgos específicos: Condiciones de Trabajo Dignas,Audit,docx,0,1402,32306,16,1426,
Audit/Preguntas riesgos específicos_ Seguridad y Salud en los Entornos de Trabajo,Preguntas riesgos específicos  Seguridad y Salud en los Entornos de Trabajo,Preguntas riesgos específicos: Seguridad y Salud en los Entornos de Trabajo,Audit,docx,0,1526,33290,15,1581,
Audit/Preguntas riesgos específicos_ TRABAJO INFANTIL,Preguntas riesgos específicos  TRABAJO INFANTIL,Preguntas sobre riesgos específicos: TRABAJO INFANTIL,Audit,docx,0,1638,31493,25,1638,
Instrucciones Chatbot Sostenibilidad,Instrucciones Chatbot Sostenibilidad,Instrucciones funcionales para el diseño del,(raíz),pdf,12,2953,74465,39,2957,
